,gene_name,entrez_id
0,HABP4,22927
1,YIPF5,81555
2,KCNC4,3749
3,ZNF438,220929
4,VASH2,79805
5,COA3,28958
6,IGFBP6,3489
7,TEX10,54881
8,CENPM,79019
9,DAB2IP,153090
10,PTPN7,5778
11,ZNF569,148266
12,MAP1LC3B2,643246
13,STAT4,6775
14,GSTCD,79807
15,NUB1,51667
16,TMEM215,401498
17,ABO,28
18,CLEC4A,50856
19,NRARP,441478
20,PRKX,5613
21,MYBPHL,343263
22,CENPT,80152
23,GPX2,2877
24,IQCA1L,392843
25,PRPH,5630
26,AKAP10,11216
27,ADGRA1,84435
28,AEN,64782
29,MITF,4286
30,ZNF473,25888
31,TMPRSS5,80975
32,BIVM-ERCC5,100533467
33,FAM183A,440585
34,CALCB,797
35,BCL2L15,440603
36,RPL27A,6157
37,NID1,4811
38,CLN3,1201
39,SYF2,25949
40,TBL1Y,90665
41,PAM16,51025
42,PSPN,5623
43,DNMT3L,29947
44,FAM90A1,55138
45,NLGN4X,57502
46,GPM6B,2824
47,SVIL,6840
48,PCP4L1,654790
49,SMDT1,91689
50,MCUR1,63933
51,HMGN1,3150
52,STX11,8676
53,CHRNB2,1141
54,ATP5F1B,506
55,EIF5,1983
56,TMEM191C,645426
57,NDRG3,57446
58,DEDD,9191
59,FGD6,55785
60,POLD1,5424
61,CDK12,51755
62,BICRA,29998
63,EGFR,1956
64,CTPS1,1503
65,LY6G6C,80740
66,TEAD2,8463
67,MT1B,4490
68,SET,6418
69,ARHGAP42,143872
70,CFHR4,10877
71,EPN3,55040
72,HMCN2,256158
73,PFDN5,5204
74,MYH11,4629
75,LRRC73,221424
76,RGS20,8601
77,BMP7,655
78,TOPAZ1,375337
79,MYO15A,51168
80,SUGP2,10147
81,HSF2BP,11077
82,ITLN2,142683
83,BOD1,91272
84,CD52,1043
85,RAB11A,8766
86,THSD4,79875
87,UBB,7314
88,LCAT,3931
89,MARCKSL1,65108
90,ABCA1,19
91,SDCCAG8,10806
92,BLVRA,644
93,SHH,6469
94,TEX28,1527
95,C19orf81,342918
96,SDK2,54549
97,ANKLE1,126549
98,NKX2-1,7080
99,CLEC5A,23601
100,C2orf16,84226
101,RHCE,6006
102,MICALL1,85377
103,TNFRSF13B,23495
104,EGLN1,54583
105,TIRAP,114609
106,ZFHX3,463
107,TGM7,116179
108,GRSF1,2926
109,NELFCD,51497
110,CTNNA1,1495
111,TSPAN7,7102
112,ALPK2,115701
113,HPS5,11234
114,AIFM1,9131
115,SSTR3,6753
116,ODF4,146852
117,DGCR6,8214
118,OR11H12,440153
119,HNF4A,3172
120,XKR3,150165
121,DDR2,4921
122,NBPF6,653149
123,LELP1,149018
124,MAML2,84441
125,MRPS7,51081
126,TMEM189,387521
127,PCDHB9,56127
128,TAAR1,134864
129,NTAN1,123803
130,IFT88,8100
131,JRK,8629
132,AOC3,8639
133,NR2F6,2063
134,TICRR,90381
135,MAEL,84944
136,MSI1,4440
137,NRP2,8828
138,CEBPG,1054
139,CORO1B,57175
140,SELENOP,6414
141,AKR1C2,1646
142,MB21D2,151963
143,CYGB,114757
144,ZMYND19,116225
145,SPX,80763
146,DST,667
147,RBM8A,9939
148,DPYSL5,56896
149,SNRNP70,6625
150,CD1B,910
151,GPATCH4,54865
152,NEIL1,79661
153,RBM46,166863
154,RACK1,10399
155,MAP3K14,9020
156,EIF5B,9669
157,MUC6,4588
158,CKMT1A,548596
159,CGB3,1082
160,GNPTAB,79158
161,LRP10,26020
162,CERS4,79603
163,DNAJC2,27000
164,BUD13,84811
165,GALNT11,63917
166,RNF216,54476
167,NOMO3,408050
168,CRH,1392
169,ECSIT,51295
170,PAK2,5062
171,FMNL2,114793
172,CSF2RB,1439
173,ERLIN2,11160
174,CDH20,28316
175,MBD3L2,125997
176,CARD17,440068
177,SLC25A21,89874
178,FAM83C,128876
179,SUCLG1,8802
180,GPRC5B,51704
181,PHOX2B,8929
182,GTF2IRD1,9569
183,DCXR,51181
184,RLN1,6013
185,TSEN15,116461
186,HSDL1,83693
187,TIGD7,91151
188,UBE4A,9354
189,SOX30,11063
190,SMPDL3B,27293
191,PCSK6,5046
192,PTPN1,5770
193,CNOT6L,246175
194,GTPBP1,9567
195,RBM6,10180
196,PCMTD2,55251
197,PTGDR,5729
198,NLRP11,204801
199,WDR31,114987
200,NIT2,56954
201,MANBAL,63905
202,SH2B1,25970
203,MGAT4D,152586
204,C1QTNF2,114898
205,RGS2,5997
206,GOLGA8O,728047
207,KCNH1,3756
208,PDZK1IP1,10158
209,SAA4,6291
210,OR7G1,125962
211,PSG8,440533
212,PLPPR5,163404
213,ZNF641,121274
214,MAGEB4,4115
215,RPTOR,57521
216,BBC3,27113
217,EBF1,1879
218,GPT,2875
219,DCTN5,84516
220,NFX1,4799
221,ABI3BP,25890
222,STK11,6794
223,PROX2,283571
224,ENDOD1,23052
225,TMPRSS4,56649
226,FBF1,85302
