,gene_name,entrez_id,ensembl_id
0,ABCF1,23,ENSG00000204574
1,ABL1,25,ENSG00000097007
2,ABL2,27,ENSG00000143322
3,ACAA1,30,ENSG00000060971
4,ACACB,32,ENSG00000076555
5,ACAT2,39,ENSG00000120437
6,ACHE,43,ENSG00000087085
7,ACLY,47,ENSG00000131473
8,ACO1,48,ENSG00000122729
9,ACR,49,ENSG00000100312
10,ACOX1,51,ENSG00000161533
11,ACTA1,58,ENSG00000143632
12,ACTA2,59,ENSG00000107796
13,ACTC1,70,ENSG00000159251
14,ACTG1,71,ENSG00000184009
15,ACTG2,72,ENSG00000163017
16,ACTL6A,86,ENSG00000136518
17,ADAM10,102,ENSG00000137845
18,ADCYAP1R1,117,ENSG00000078549
19,ADH1A,124,ENSG00000187758
20,ADH5,128,ENSG00000197894
21,ADK,132,ENSG00000156110
22,ADORA1,134,ENSG00000163485
23,ADORA2A,135,ENSG00000128271
24,ADORA2B,136,ENSG00000170425
25,PARP1,142,ENSG00000143799
26,ADRA1D,146,ENSG00000171873
27,ADRA1B,147,ENSG00000170214
28,ADRA1A,148,ENSG00000120907
29,ADRA2A,150,ENSG00000150594
30,ADRA2C,152,ENSG00000184160
31,ADRB1,153,ENSG00000043591
32,ADRB2,154,ENSG00000169252
33,ADRB3,155,ENSG00000188778
34,AP2A1,160,ENSG00000196961
35,CRISP1,167,ENSG00000124812
36,AFM,173,ENSG00000079557
37,AGL,178,ENSG00000162688
38,AGTR1,185,ENSG00000144891
39,AGTR2,186,ENSG00000180772
40,APLNR,187,ENSG00000134817
41,NR0B1,190,ENSG00000169297
42,AHSG,197,ENSG00000145192
43,AKT1,207,ENSG00000142208
44,AKT2,208,ENSG00000105221
45,ALAS1,211,ENSG00000023330
46,ALB,213,ENSG00000163631
47,ALDH1A1,216,ENSG00000165092
48,ALDH2,217,ENSG00000111275
49,ALDH3A1,218,ENSG00000108602
50,ALDH1A3,220,ENSG00000184254
51,ALDH3B2,222,ENSG00000132746
52,ALDH3A2,224,ENSG00000072210
53,ALDOA,226,ENSG00000149925
54,ALDOC,230,ENSG00000109107
55,AKR1B1,231,ENSG00000085662
56,ALK,238,ENSG00000171094
57,ALOX12,239,ENSG00000108839
58,ALOX5,240,ENSG00000012779
59,ALOX15,246,ENSG00000161905
60,ALOX15B,247,ENSG00000179593
61,ALPL,249,ENSG00000162551
62,ALPP,250,ENSG00000163283
63,AMBN,258,ENSG00000178522
64,AMELX,265,ENSG00000125363
65,AMELY,266,ENSG00000099721
66,AMY2A,279,ENSG00000243480
67,ANPEP,290,ENSG00000166825
68,SLC25A4,291,ENSG00000151729
69,ANXA7,310,ENSG00000138279
70,AOX1,316,ENSG00000138356
71,APAF1,317,ENSG00000120868
72,APBB2,323,ENSG00000163697
73,APCS,325,ENSG00000132703
74,APEH,327,ENSG00000164062
75,APEX1,328,ENSG00000100823
76,BIRC2,329,ENSG00000110330
77,XIAP,331,ENSG00000101966
78,BIRC5,332,ENSG00000089685
79,APOA1,335,ENSG00000118137
80,APOA4,337,ENSG00000110244
81,APOB,338,ENSG00000084674
82,APOE,348,ENSG00000130203
83,APP,351,ENSG00000142192
84,KLK3,354,ENSG00000142515
85,FAS,355,ENSG00000026103
86,AR,367,ENSG00000169083
87,ARF6,382,ENSG00000165527
88,RHOA,387,ENSG00000067560
89,ARHGAP1,392,ENSG00000175220
90,PHOX2A,401,ENSG00000165462
91,ARRB1,408,ENSG00000137486
92,ARRB2,409,ENSG00000141480
93,STS,412,ENSG00000101846
94,ASAH1,427,ENSG00000104763
95,ATF1,466,ENSG00000123268
96,ATM,472,ENSG00000149311
97,ATOH1,474,ENSG00000172238
98,ATP1B1,481,ENSG00000143153
99,ATP4B,496,ENSG00000186009
100,ATP5F1A,498,ENSG00000152234
101,ALDH7A1,501,ENSG00000164904
102,ATP5F1B,506,ENSG00000110955
103,ATP5F1C,509,ENSG00000165629
104,ATP5F1D,513,ENSG00000099624
105,ATP5PB,515,ENSG00000116459
106,ATP5ME,521,ENSG00000169020
107,ATP6V0B,533,ENSG00000117410
108,ATP5PO,539,ENSG00000241837
109,ATR,545,ENSG00000175054
110,AVP,551,ENSG00000101200
111,AVPR1A,552,ENSG00000166148
112,AVPR1B,553,ENSG00000198049
113,AVPR2,554,ENSG00000126895
114,AXL,558,ENSG00000167601
115,AZU1,566,ENSG00000172232
116,BAD,572,ENSG00000002330
117,BARD1,580,ENSG00000138376
118,BAX,581,ENSG00000087088
119,BCHE,590,ENSG00000114200
120,CCND1,595,ENSG00000110092
121,BCL2,596,ENSG00000171791
122,BCL2L1,598,ENSG00000171552
123,OPN1SW,611,ENSG00000128617
124,BDH1,622,ENSG00000161267
125,BDKRB1,623,ENSG00000100739
126,BDNF,627,ENSG00000176697
127,CFB,629,ENSG00000243649
128,BID,637,ENSG00000015475
129,BLK,640,ENSG00000136573
130,BLM,641,ENSG00000197299
131,BLMH,642,ENSG00000108578
132,BLVRA,644,ENSG00000106605
133,BMP4,652,ENSG00000125378
134,BMX,660,ENSG00000102010
135,BNIP3,664,ENSG00000176171
136,BNIP3L,665,ENSG00000104765
137,BPHL,670,ENSG00000137274
138,BRCA1,672,ENSG00000012048
139,BRCA2,675,ENSG00000139618
140,BRS3,680,ENSG00000102239
141,BTK,695,ENSG00000010671
142,BUB1,699,ENSG00000169679
143,BUB1B,701,ENSG00000156970
144,BYSL,705,ENSG00000112578
145,TSPO,706,ENSG00000100300
146,C1QA,712,ENSG00000173372
147,C1QB,713,ENSG00000173369
148,C1QC,714,ENSG00000159189
149,C1S,716,ENSG00000182326
150,C2,717,ENSG00000166278
151,C5,727,ENSG00000106804
152,C8A,731,ENSG00000157131
153,C8B,732,ENSG00000021852
154,C9,735,ENSG00000113600
155,MRPL49,740,ENSG00000149792
156,CA2,760,ENSG00000104267
157,CA3,761,ENSG00000164879
158,CA4,762,ENSG00000167434
159,CA5A,763,ENSG00000174990
160,CA6,765,ENSG00000131686
161,CA7,766,ENSG00000168748
162,CA8,767,ENSG00000178538
163,CA9,768,ENSG00000107159
164,CA11,770,ENSG00000063180
165,CA12,771,ENSG00000074410
166,CACNA1A,773,ENSG00000141837
167,CACNA1C,775,ENSG00000151067
168,CACNA1D,776,ENSG00000157388
169,CACNA1F,778,ENSG00000102001
170,CACNA1S,779,ENSG00000081248
171,DDR1,780,ENSG00000204580
172,CAD,790,ENSG00000084774
173,S100G,795,ENSG00000169906
174,CALM2,805,ENSG00000143933
175,CALM3,808,ENSG00000160014
176,CALU,813,ENSG00000128595
177,CAMK2A,815,ENSG00000070808
178,CAMK2B,816,ENSG00000058404
179,CAMK2D,817,ENSG00000145349
180,CANX,821,ENSG00000127022
181,CAPN1,823,ENSG00000014216
182,CAPN2,824,ENSG00000162909
183,CAST,831,ENSG00000153113
184,CASP1,834,ENSG00000137752
185,CASP2,835,ENSG00000106144
186,CASP3,836,ENSG00000164305
187,CASP7,840,ENSG00000165806
188,CASP8,841,ENSG00000064012
189,CASP10,843,ENSG00000003400
190,CASR,846,ENSG00000036828
191,CAT,847,ENSG00000121691
192,CAV1,857,ENSG00000105974
193,CAV3,859,ENSG00000182533
194,RUNX2,860,ENSG00000124813
195,CBL,867,ENSG00000110395
196,CBLB,868,ENSG00000114423
197,CBR1,873,ENSG00000159228
198,CBR3,874,ENSG00000159231
199,KYAT1,883,ENSG00000171097
200,CCKAR,886,ENSG00000163394
201,CCKBR,887,ENSG00000110148
202,CCNA2,890,ENSG00000145386
203,CCNB1,891,ENSG00000134057
204,CCND3,896,ENSG00000112576
205,CCNE1,898,ENSG00000105173
206,CCNF,899,ENSG00000162063
207,CCNH,902,ENSG00000134480
208,CD1B,910,ENSG00000158485
209,CD1E,913,ENSG00000158488
210,CD247,919,ENSG00000198821
211,CD4,920,ENSG00000010610
212,CD8A,925,ENSG00000153563
213,CD19,930,ENSG00000177455
214,MS4A3,932,ENSG00000149516
215,CD28,940,ENSG00000178562
216,CD80,941,ENSG00000121594
217,SCARB1,949,ENSG00000073060
218,CD40,958,ENSG00000101017
219,CD40LG,959,ENSG00000102245
220,CD44,960,ENSG00000026508
221,CD58,965,ENSG00000116815
222,ADGRE5,976,ENSG00000123146
223,CDK1,983,ENSG00000170312
224,CDC5L,988,ENSG00000096401
225,CDC6,990,ENSG00000094804
226,CDC20,991,ENSG00000117399
227,CDC25A,993,ENSG00000164045
228,CDC25B,994,ENSG00000101224
229,CDC25C,995,ENSG00000158402
230,CDC42,998,ENSG00000070831
231,CDH1,999,ENSG00000039068
232,CDH3,1001,ENSG00000062038
233,CDK2,1017,ENSG00000123374
234,CDK4,1019,ENSG00000135446
235,CDK5,1020,ENSG00000164885
236,CDK6,1021,ENSG00000105810
237,CDK7,1022,ENSG00000134058
238,CDK9,1025,ENSG00000136807
239,CDKN1A,1026,ENSG00000124762
240,CDKN1B,1027,ENSG00000111276
241,CDKN2A,1029,ENSG00000147889
242,CDX4,1046,ENSG00000131264
243,CEBPA,1050,ENSG00000245848
244,CEBPD,1052,ENSG00000221869
245,CEL,1056,ENSG00000170835
246,CENPA,1058,ENSG00000115163
247,CENPE,1062,ENSG00000138778
248,CENPF,1063,ENSG00000117724
249,CES1,1066,ENSG00000198848
250,CETN1,1068,ENSG00000177143
251,CETN3,1070,ENSG00000153140
252,CTSC,1075,ENSG00000109861
253,CFTR,1080,ENSG00000001626
254,CEACAM8,1088,ENSG00000124469
255,CEACAM4,1089,ENSG00000105352
256,CHAT,1103,ENSG00000070748
257,CHD3,1107,ENSG00000170004
258,CHD4,1108,ENSG00000111642
259,AKR1C4,1109,ENSG00000198610
260,CHEK1,1111,ENSG00000149554
261,CHN1,1123,ENSG00000128656
262,CHRM1,1128,ENSG00000168539
263,CHRM2,1129,ENSG00000181072
264,CHRM3,1131,ENSG00000133019
265,CHRM4,1132,ENSG00000180720
266,CHRM5,1133,ENSG00000184984
267,CHRNA1,1134,ENSG00000138435
268,CHRNA2,1135,ENSG00000120903
269,CHRNA3,1136,ENSG00000080644
270,CHRNA4,1137,ENSG00000101204
271,CHRNA5,1138,ENSG00000169684
272,CHRNA7,1139,ENSG00000175344
273,CHRNB1,1140,ENSG00000170175
274,CHRNB2,1141,ENSG00000160716
275,CHRNB3,1142,ENSG00000147432
276,CHRNB4,1143,ENSG00000117971
277,CHRND,1144,ENSG00000135902
278,CHUK,1147,ENSG00000213341
279,CIRBP,1153,ENSG00000099622
280,AP2M1,1173,ENSG00000161203
281,CLCA1,1179,ENSG00000016490
282,CLPS,1208,ENSG00000137392
283,CLTB,1212,ENSG00000175416
284,CLTC,1213,ENSG00000141367
285,CMA1,1215,ENSG00000092009
286,CCR1,1230,ENSG00000163823
287,CCR3,1232,ENSG00000183625
288,CCR4,1233,ENSG00000183813
289,CCR5,1234,ENSG00000160791
290,LTB4R,1241,ENSG00000213903
291,CNGA2,1260,ENSG00000183862
292,CNR1,1268,ENSG00000118432
293,CNR2,1269,ENSG00000188822
294,COL1A1,1277,ENSG00000108821
295,COL4A1,1282,ENSG00000187498
296,COMT,1312,ENSG00000093010
297,COX4I1,1327,ENSG00000131143
298,COX5B,1329,ENSG00000135940
299,COX7C,1350,ENSG00000127184
300,COX10,1352,ENSG00000006695
301,CP,1356,ENSG00000047457
302,CPA1,1357,ENSG00000091704
303,CREB1,1385,ENSG00000118260
304,ATF2,1386,ENSG00000115966
305,CREBBP,1387,ENSG00000005339
306,CRH,1392,ENSG00000147571
