,gene_name,entrez_id,ensembl_id
0,ABCF1,23,ENSG00000204574
1,ABL1,25,ENSG00000097007
2,ACAA1,30,ENSG00000060971
3,ACAT2,39,ENSG00000120437
4,ACLY,47,ENSG00000131473
5,ADAM10,102,ENSG00000137845
6,ADH5,128,ENSG00000197894
7,PARP1,142,ENSG00000143799
8,ADRB2,154,ENSG00000169252
9,AGL,178,ENSG00000162688
10,AKT1,207,ENSG00000142208
11,ALAS1,211,ENSG00000023330
12,ALDOA,226,ENSG00000149925
13,ALDOC,230,ENSG00000109107
14,SLC25A4,291,ENSG00000151729
15,ANXA7,310,ENSG00000138279
16,APBB2,323,ENSG00000163697
17,BIRC2,329,ENSG00000110330
18,BIRC5,332,ENSG00000089685
19,APOE,348,ENSG00000130203
20,APP,351,ENSG00000142192
21,FAS,355,ENSG00000026103
22,RHOA,387,ENSG00000067560
23,ARHGAP1,392,ENSG00000175220
24,ASAH1,427,ENSG00000104763
25,ATF1,466,ENSG00000123268
26,ATP1B1,481,ENSG00000143153
27,ALDH7A1,501,ENSG00000164904
28,ATP6V0B,533,ENSG00000117410
29,BAD,572,ENSG00000002330
30,BAX,581,ENSG00000087088
31,CCND1,595,ENSG00000110092
32,BCL2,596,ENSG00000171791
33,BDH1,622,ENSG00000161267
34,BID,637,ENSG00000015475
35,BLMH,642,ENSG00000108578
36,BLVRA,644,ENSG00000106605
37,BMP4,652,ENSG00000125378
38,BNIP3,664,ENSG00000176171
39,BNIP3L,665,ENSG00000104765
40,BPHL,670,ENSG00000137274
41,BRCA1,672,ENSG00000012048
42,BTK,695,ENSG00000010671
43,BUB1B,701,ENSG00000156970
44,C5,727,ENSG00000106804
45,DDR1,780,ENSG00000204580
46,CALM3,808,ENSG00000160014
47,CALU,813,ENSG00000128595
48,CAPN1,823,ENSG00000014216
49,CAST,831,ENSG00000153113
50,CASP2,835,ENSG00000106144
51,CASP3,836,ENSG00000164305
52,CASP7,840,ENSG00000165806
53,CASP10,843,ENSG00000003400
54,CAT,847,ENSG00000121691
55,CBLB,868,ENSG00000114423
56,CBR1,873,ENSG00000159228
57,CBR3,874,ENSG00000159231
58,CCNA2,890,ENSG00000145386
59,CCNB1,891,ENSG00000134057
60,CCND3,896,ENSG00000112576
61,CCNF,899,ENSG00000162063
62,CCNH,902,ENSG00000134480
63,SCARB1,949,ENSG00000073060
64,CD40,958,ENSG00000101017
65,CD44,960,ENSG00000026508
66,CD58,965,ENSG00000116815
67,ADGRE5,976,ENSG00000123146
68,CDK1,983,ENSG00000170312
69,CDC20,991,ENSG00000117399
70,CDC25A,993,ENSG00000164045
71,CDC25B,994,ENSG00000101224
72,CDC42,998,ENSG00000070831
73,CDH3,1001,ENSG00000062038
74,CDK2,1017,ENSG00000123374
75,CDK4,1019,ENSG00000135446
76,CDK6,1021,ENSG00000105810
77,CDK7,1022,ENSG00000134058
78,CDKN1A,1026,ENSG00000124762
79,CDKN1B,1027,ENSG00000111276
80,CDKN2A,1029,ENSG00000147889
81,CEBPA,1050,ENSG00000245848
82,CEBPD,1052,ENSG00000221869
83,CENPE,1062,ENSG00000138778
84,CETN3,1070,ENSG00000153140
85,CHEK1,1111,ENSG00000149554
86,CHN1,1123,ENSG00000128656
87,CIRBP,1153,ENSG00000099622
88,CLTB,1212,ENSG00000175416
89,CLTC,1213,ENSG00000141367
90,COL1A1,1277,ENSG00000108821
91,COL4A1,1282,ENSG00000187498
92,CREB1,1385,ENSG00000118260
93,CRK,1398,ENSG00000167193
94,CRKL,1399,ENSG00000099942
95,CRYZ,1429,ENSG00000116791
96,CSK,1445,ENSG00000103653
97,CSNK1A1,1452,ENSG00000113712
98,CSNK1E,1454,ENSG00000213923
99,CSNK2A2,1459,ENSG00000070770
100,CSRP1,1465,ENSG00000159176
101,CTNND1,1500,ENSG00000198561
102,CTSD,1509,ENSG00000117984
103,CTSL,1514,ENSG00000135047
104,CYB561,1534,ENSG00000008283
105,DAG1,1605,ENSG00000173402
106,DCK,1633,ENSG00000156136
107,DCTD,1635,ENSG00000129187
108,DDB2,1643,ENSG00000134574
109,GADD45A,1647,ENSG00000116717
110,DDX10,1662,ENSG00000178105
111,DECR1,1666,ENSG00000104325
112,DFFA,1676,ENSG00000160049
113,DFFB,1677,ENSG00000169598
114,DLD,1738,ENSG00000091140
115,DNM1,1759,ENSG00000106976
116,DNMT1,1786,ENSG00000130816
117,DNMT3A,1788,ENSG00000119772
118,DPH2,1802,ENSG00000132768
119,DSG2,1829,ENSG00000046604
120,TSC22D3,1831,ENSG00000157514
121,DUSP3,1845,ENSG00000108861
122,DUSP4,1846,ENSG00000120875
123,DUSP6,1848,ENSG00000139318
124,TOR1A,1861,ENSG00000136827
125,E2F2,1870,ENSG00000007968
126,ECH1,1891,ENSG00000104823
127,EDN1,1906,ENSG00000078401
128,EGF,1950,ENSG00000138798
129,EGFR,1956,ENSG00000146648
130,EGR1,1958,ENSG00000120738
131,EIF4EBP1,1978,ENSG00000187840
132,EIF4G1,1981,ENSG00000114867
133,EIF5,1983,ENSG00000100664
134,ELAVL1,1994,ENSG00000066044
135,CTTN,2017,ENSG00000085733
136,EPB41L2,2037,ENSG00000079819
137,EPHA3,2042,ENSG00000044524
138,EPHB2,2048,ENSG00000133216
139,NR2F6,2063,ENSG00000160113
140,ERBB2,2064,ENSG00000141736
141,ERBB3,2065,ENSG00000065361
142,ETFB,2109,ENSG00000105379
143,ETS1,2113,ENSG00000134954
144,ETV1,2115,ENSG00000006468
145,EXT1,2131,ENSG00000182197
146,EZH2,2146,ENSG00000106462
147,FAH,2184,ENSG00000103876
148,PTK2B,2185,ENSG00000120899
149,FAT1,2195,ENSG00000083857
150,FDFT1,2222,ENSG00000079459
151,FGFR2,2263,ENSG00000066468
152,FGFR4,2264,ENSG00000160867
153,FHL2,2274,ENSG00000115641
154,FKBP4,2288,ENSG00000004478
155,FOXO3,2309,ENSG00000118689
156,FOS,2353,ENSG00000170345
157,FPGS,2356,ENSG00000136877
158,FUT1,2523,ENSG00000174951
159,FYN,2534,ENSG00000010810
160,SLC37A4,2542,ENSG00000137700
161,GAA,2548,ENSG00000171298
162,GABPB1,2553,ENSG00000104064
163,GALE,2582,ENSG00000117308
164,GAPDH,2597,ENSG00000111640
165,GATA2,2624,ENSG00000179348
166,GATA3,2625,ENSG00000107485
167,GFPT1,2673,ENSG00000198380
168,GHR,2690,ENSG00000112964
169,GLI2,2736,ENSG00000074047
170,GLRX,2745,ENSG00000173221
171,GNA11,2767,ENSG00000088256
172,GNA15,2769,ENSG00000060558
173,GNAI1,2770,ENSG00000127955
174,GNAI2,2771,ENSG00000114353
175,GNAS,2778,ENSG00000087460
176,SFN,2810,ENSG00000175793
177,GPC1,2817,ENSG00000063660
178,GPER1,2852,ENSG00000164850
179,GRB7,2886,ENSG00000141738
180,GRB10,2887,ENSG00000106070
181,GRN,2896,ENSG00000030582
182,NR3C1,2908,ENSG00000113580
183,CXCL2,2920,ENSG00000081041
184,GSTM2,2946,ENSG00000213366
185,GSTZ1,2954,ENSG00000100577
186,MSH6,2956,ENSG00000116062
187,GTF2A2,2958,ENSG00000140307
188,GTF2E2,2961,ENSG00000197265
189,HSD17B10,3028,ENSG00000072506
190,HADH,3033,ENSG00000138796
191,HDAC2,3066,ENSG00000196591
192,HIF1A,3091,ENSG00000100644
193,HK1,3098,ENSG00000156515
194,HLA-DMA,3108,ENSG00000204257
195,HLA-DRA,3122,ENSG00000204287
196,HMGCR,3156,ENSG00000113161
197,HMGCS1,3157,ENSG00000112972
198,HMOX1,3162,ENSG00000100292
199,HOXA5,3202,ENSG00000106004
200,HOXA10,3206,ENSG00000253293
201,HPRT1,3251,ENSG00000165704
202,HES1,3280,ENSG00000114315
203,DNAJB2,3300,ENSG00000135924
204,HSPA1A,3303,ENSG00000204389
205,HSPA4,3308,ENSG00000170606
206,HSPA8,3312,ENSG00000109971
207,HSPB1,3315,ENSG00000106211
208,HSPD1,3329,ENSG00000144381
209,DNAJB1,3337,ENSG00000132002
210,ICAM1,3383,ENSG00000090339
211,ICAM3,3385,ENSG00000076662
212,ID2,3398,ENSG00000115738
213,IDE,3416,ENSG00000119912
214,IFNAR1,3454,ENSG00000142166
215,IGF1R,3480,ENSG00000140443
216,IGF2R,3482,ENSG00000197081
217,IGFBP3,3486,ENSG00000146674
218,IGHMBP2,3508,ENSG00000132740
219,IKBKB,3551,ENSG00000104365
220,IL1B,3553,ENSG00000125538
221,IL4R,3566,ENSG00000077238
222,IL13RA1,3597,ENSG00000131724
223,ILK,3611,ENSG00000166333
224,INPP1,3628,ENSG00000151689
225,INSIG1,3638,ENSG00000186480
226,ITGAE,3682,ENSG00000083457
227,ITGB5,3693,ENSG00000082781
228,JUN,3725,ENSG00000177606
229,KCNK1,3775,ENSG00000135750
230,KIF5C,3800,ENSG00000168280
231,KIT,3815,ENSG00000157404
232,KTN1,3895,ENSG00000126777
233,LAMA3,3909,ENSG00000053747
234,STMN1,3925,ENSG00000117632
235,LBR,3930,ENSG00000143815
236,LGALS8,3964,ENSG00000116977
237,LIG1,3978,ENSG00000105486
238,LIPA,3988,ENSG00000107798
239,LOXL1,4016,ENSG00000129038
240,LRPAP1,4043,ENSG00000163956
241,LYN,4067,ENSG00000254087
242,SMAD3,4088,ENSG00000166949
243,MAN2B1,4125,ENSG00000104774
244,MAT2A,4144,ENSG00000168906
245,MBNL1,4154,ENSG00000152601
246,MCM3,4172,ENSG00000112118
247,ME2,4200,ENSG00000082212
248,MEF2C,4208,ENSG00000081189
249,MAP3K4,4216,ENSG00000085511
250,MEST,4232,ENSG00000106484
251,MIF,4282,ENSG00000240972
252,FOXO4,4303,ENSG00000184481
253,MMP1,4312,ENSG00000196611
254,MMP2,4313,ENSG00000087245
255,MNAT1,4331,ENSG00000020426
256,MSRA,4482,ENSG00000175806
257,MUC1,4582,ENSG00000185499
258,MYBL2,4605,ENSG00000101057
259,MYC,4609,ENSG00000136997
260,GADD45B,4616,ENSG00000099860
261,MYLK,4638,ENSG00000065534
262,MYO10,4651,ENSG00000145555
263,NCK1,4690,ENSG00000158092
264,NFATC3,4775,ENSG00000072736
265,NFATC4,4776,ENSG00000100968
266,NFE2L2,4780,ENSG00000116044
267,NFIL3,4783,ENSG00000165030
268,NFKB2,4791,ENSG00000077150
269,NFKBIA,4792,ENSG00000100906
270,NFKBIB,4793,ENSG00000104825
271,NFKBIE,4794,ENSG00000146232
272,NIT1,4817,ENSG00000158793
273,NMT1,4836,ENSG00000136448
274,NOS3,4846,ENSG00000164867
275,CNOT4,4850,ENSG00000080802
276,NOTCH1,4851,ENSG00000148400
277,PNP,4860,ENSG00000198805
278,NPC1,4864,ENSG00000141458
279,SLC11A2,4891,ENSG00000110911
280,NRAS,4893,ENSG00000213281
281,NUCB2,4925,ENSG00000070081
282,NUP88,4927,ENSG00000108559
283,NVL,4931,ENSG00000143748
284,ORC1,4998,ENSG00000085840
285,OXA1L,5018,ENSG00000155463
286,OXCT1,5019,ENSG00000083720
287,PAFAH1B1,5048,ENSG00000007168
288,PAFAH1B3,5050,ENSG00000079462
289,SERPINE1,5054,ENSG00000106366
290,PAK1,5058,ENSG00000149269
291,PCBD1,5092,ENSG00000166228
292,PCCB,5096,ENSG00000114054
293,PCK2,5106,ENSG00000100889
294,PCM1,5108,ENSG00000078674
295,PCMT1,5110,ENSG00000120265
296,PCNA,5111,ENSG00000132646
297,PDGFA,5154,ENSG00000197461
